[0.000000] (-) TimerEvent: {}
[0.000593] (assignment_groups_mip) JobQueued: {'identifier': 'assignment_groups_mip', 'dependencies': OrderedDict()}
[0.004455] (golomb_sat) JobQueued: {'identifier': 'golomb_sat', 'dependencies': OrderedDict()}
[0.004461] (integer_programming) JobQueued: {'identifier': 'integer_programming', 'dependencies': OrderedDict()}
[0.004466] (integer_programming_example) JobQueued: {'identifier': 'integer_programming_example', 'dependencies': OrderedDict()}
[0.004472] (interval_sample_sat) JobQueued: {'identifier': 'interval_sample_sat', 'dependencies': OrderedDict()}
[0.004478] (jobshop_sat) JobQueued: {'identifier': 'jobshop_sat', 'dependencies': OrderedDict()}
[0.004484] (json-populate) JobQueued: {'identifier': 'json-populate', 'dependencies': OrderedDict()}
[0.004490] (knapsack) JobQueued: {'identifier': 'knapsack', 'dependencies': OrderedDict()}
[0.004496] (knapsack_2d_sat) JobQueued: {'identifier': 'knapsack_2d_sat', 'dependencies': OrderedDict()}
[0.004501] (linear_assignment_api) JobQueued: {'identifier': 'linear_assignment_api', 'dependencies': OrderedDict()}
[0.004507] (linear_programming) JobQueued: {'identifier': 'linear_programming', 'dependencies': OrderedDict()}
[0.004512] (linear_programming_example) JobQueued: {'identifier': 'linear_programming_example', 'dependencies': OrderedDict()}
[0.004518] (linear_solver_protocol_buffers) JobQueued: {'identifier': 'linear_solver_protocol_buffers', 'dependencies': OrderedDict()}
[0.004524] (literal_sample_sat) JobQueued: {'identifier': 'literal_sample_sat', 'dependencies': OrderedDict()}
[0.004529] (magic_sequence_sat) JobQueued: {'identifier': 'magic_sequence_sat', 'dependencies': OrderedDict()}
[0.004535] (magic_square_sat) JobQueued: {'identifier': 'magic_square_sat', 'dependencies': OrderedDict()}
[0.004540] (matplot-populate) JobQueued: {'identifier': 'matplot-populate', 'dependencies': OrderedDict()}
[0.004546] (matplot-src) JobQueued: {'identifier': 'matplot-src', 'dependencies': OrderedDict()}
[0.004552] (max_flow) JobQueued: {'identifier': 'max_flow', 'dependencies': OrderedDict()}
[0.004558] (min_cost_flow) JobQueued: {'identifier': 'min_cost_flow', 'dependencies': OrderedDict()}
[0.004564] (minimal_jobshop_cp) JobQueued: {'identifier': 'minimal_jobshop_cp', 'dependencies': OrderedDict()}
[0.004569] (minimal_jobshop_sat) JobQueued: {'identifier': 'minimal_jobshop_sat', 'dependencies': OrderedDict()}
[0.004616] (mip_var_array) JobQueued: {'identifier': 'mip_var_array', 'dependencies': OrderedDict()}
[0.004622] (mps_driver) JobQueued: {'identifier': 'mps_driver', 'dependencies': OrderedDict()}
[0.004628] (multi_knapsack_sat) JobQueued: {'identifier': 'multi_knapsack_sat', 'dependencies': OrderedDict()}
[0.004634] (multiple_knapsack_mip) JobQueued: {'identifier': 'multiple_knapsack_mip', 'dependencies': OrderedDict()}
[0.004649] (multiple_knapsack_sat) JobQueued: {'identifier': 'multiple_knapsack_sat', 'dependencies': OrderedDict()}
[0.004655] (network_routing_sat) JobQueued: {'identifier': 'network_routing_sat', 'dependencies': OrderedDict()}
[0.004660] (nlohmann_json) JobQueued: {'identifier': 'nlohmann_json', 'dependencies': OrderedDict()}
[0.004666] (no_overlap_sample_sat) JobQueued: {'identifier': 'no_overlap_sample_sat', 'dependencies': OrderedDict()}
[0.004671] (non_linear_sat) JobQueued: {'identifier': 'non_linear_sat', 'dependencies': OrderedDict()}
[0.004677] (nqueens) JobQueued: {'identifier': 'nqueens', 'dependencies': OrderedDict()}
[0.004682] (nqueens_cp) JobQueued: {'identifier': 'nqueens_cp', 'dependencies': OrderedDict()}
[0.004688] (nqueens_sat) JobQueued: {'identifier': 'nqueens_sat', 'dependencies': OrderedDict()}
[0.004694] (nurses_cp) JobQueued: {'identifier': 'nurses_cp', 'dependencies': OrderedDict()}
[0.004699] (nurses_sat) JobQueued: {'identifier': 'nurses_sat', 'dependencies': OrderedDict()}
[0.004705] (optional_interval_sample_sat) JobQueued: {'identifier': 'optional_interval_sample_sat', 'dependencies': OrderedDict()}
[0.004710] (ortools-populate) JobQueued: {'identifier': 'ortools-populate', 'dependencies': OrderedDict()}
[0.004716] (pdlp_solve) JobQueued: {'identifier': 'pdlp_solve', 'dependencies': OrderedDict()}
[0.004721] (pdptw) JobQueued: {'identifier': 'pdptw', 'dependencies': OrderedDict()}
[0.004727] (qap_sat) JobQueued: {'identifier': 'qap_sat', 'dependencies': OrderedDict()}
[0.004733] (rabbits_and_pheasants_cp) JobQueued: {'identifier': 'rabbits_and_pheasants_cp', 'dependencies': OrderedDict()}
[0.004739] (rabbits_and_pheasants_sat) JobQueued: {'identifier': 'rabbits_and_pheasants_sat', 'dependencies': OrderedDict()}
[0.004744] (random_tsp) JobQueued: {'identifier': 'random_tsp', 'dependencies': OrderedDict()}
[0.004750] (ranking_sample_sat) JobQueued: {'identifier': 'ranking_sample_sat', 'dependencies': OrderedDict()}
[0.004756] (reified_sample_sat) JobQueued: {'identifier': 'reified_sample_sat', 'dependencies': OrderedDict()}
[0.004761] (robot_package) JobQueued: {'identifier': 'robot_package', 'dependencies': OrderedDict()}
[0.004767] (schedule_requests_sat) JobQueued: {'identifier': 'schedule_requests_sat', 'dependencies': OrderedDict()}
[0.004773] (search_for_all_solutions_sample_sat) JobQueued: {'identifier': 'search_for_all_solutions_sample_sat', 'dependencies': OrderedDict()}
[0.004778] (shift_minimization_sat) JobQueued: {'identifier': 'shift_minimization_sat', 'dependencies': OrderedDict()}
[0.004784] (simple_cp_program) JobQueued: {'identifier': 'simple_cp_program', 'dependencies': OrderedDict()}
[0.004789] (simple_glop_program) JobQueued: {'identifier': 'simple_glop_program', 'dependencies': OrderedDict()}
[0.004795] (simple_knapsack_program) JobQueued: {'identifier': 'simple_knapsack_program', 'dependencies': OrderedDict()}
[0.004800] (simple_lp_program) JobQueued: {'identifier': 'simple_lp_program', 'dependencies': OrderedDict()}
[0.004806] (simple_ls_program) JobQueued: {'identifier': 'simple_ls_program', 'dependencies': OrderedDict()}
[0.004812] (simple_max_flow_program) JobQueued: {'identifier': 'simple_max_flow_program', 'dependencies': OrderedDict()}
[0.004817] (simple_min_cost_flow_program) JobQueued: {'identifier': 'simple_min_cost_flow_program', 'dependencies': OrderedDict()}
[0.004823] (simple_mip_program) JobQueued: {'identifier': 'simple_mip_program', 'dependencies': OrderedDict()}
[0.004829] (simple_pdlp_program) JobQueued: {'identifier': 'simple_pdlp_program', 'dependencies': OrderedDict()}
[0.004836] (simple_routing_program) JobQueued: {'identifier': 'simple_routing_program', 'dependencies': OrderedDict()}
[0.004841] (simple_sat_program) JobQueued: {'identifier': 'simple_sat_program', 'dependencies': OrderedDict()}
[0.004851] (slitherlink_sat) JobQueued: {'identifier': 'slitherlink_sat', 'dependencies': OrderedDict()}
[0.004857] (solution_hinting_sample_sat) JobQueued: {'identifier': 'solution_hinting_sample_sat', 'dependencies': OrderedDict()}
[0.004863] (solve_and_print_intermediate_solutions_sample_sat) JobQueued: {'identifier': 'solve_and_print_intermediate_solutions_sample_sat', 'dependencies': OrderedDict()}
[0.004869] (solve_with_time_limit_sample_sat) JobQueued: {'identifier': 'solve_with_time_limit_sample_sat', 'dependencies': OrderedDict()}
[0.004875] (sports_scheduling_sat) JobQueued: {'identifier': 'sports_scheduling_sat', 'dependencies': OrderedDict()}
[0.004880] (steering_functions) JobQueued: {'identifier': 'steering_functions', 'dependencies': OrderedDict()}
[0.004886] (steering_functions-populate) JobQueued: {'identifier': 'steering_functions-populate', 'dependencies': OrderedDict()}
[0.004892] (step_function_sample_sat) JobQueued: {'identifier': 'step_function_sample_sat', 'dependencies': OrderedDict()}
[0.004898] (stigler_diet) JobQueued: {'identifier': 'stigler_diet', 'dependencies': OrderedDict()}
[0.004904] (stop_after_n_solutions_sample_sat) JobQueued: {'identifier': 'stop_after_n_solutions_sample_sat', 'dependencies': OrderedDict()}
[0.004909] (strawberry_fields_with_column_generation) JobQueued: {'identifier': 'strawberry_fields_with_column_generation', 'dependencies': OrderedDict()}
[0.004918] (tsp) JobQueued: {'identifier': 'tsp', 'dependencies': OrderedDict()}
[0.004924] (tsp_circuit_board) JobQueued: {'identifier': 'tsp_circuit_board', 'dependencies': OrderedDict()}
[0.004930] (tsp_cities) JobQueued: {'identifier': 'tsp_cities', 'dependencies': OrderedDict()}
[0.004937] (tsp_cities_routes) JobQueued: {'identifier': 'tsp_cities_routes', 'dependencies': OrderedDict()}
[0.004943] (tsp_distance_matrix) JobQueued: {'identifier': 'tsp_distance_matrix', 'dependencies': OrderedDict()}
[0.004949] (uncapacitated_facility_location) JobQueued: {'identifier': 'uncapacitated_facility_location', 'dependencies': OrderedDict()}
[0.004955] (variable_intervals_sat) JobQueued: {'identifier': 'variable_intervals_sat', 'dependencies': OrderedDict()}
[0.004961] (vector_bin_packing_solver) JobQueued: {'identifier': 'vector_bin_packing_solver', 'dependencies': OrderedDict()}
[0.004968] (vrp) JobQueued: {'identifier': 'vrp', 'dependencies': OrderedDict()}
[0.004974] (vrp_breaks) JobQueued: {'identifier': 'vrp_breaks', 'dependencies': OrderedDict()}
[0.004981] (vrp_capacity) JobQueued: {'identifier': 'vrp_capacity', 'dependencies': OrderedDict()}
[0.004987] (vrp_drop_nodes) JobQueued: {'identifier': 'vrp_drop_nodes', 'dependencies': OrderedDict()}
[0.004993] (vrp_global_span) JobQueued: {'identifier': 'vrp_global_span', 'dependencies': OrderedDict()}
[0.004999] (vrp_initial_routes) JobQueued: {'identifier': 'vrp_initial_routes', 'dependencies': OrderedDict()}
[0.005005] (vrp_pickup_delivery) JobQueued: {'identifier': 'vrp_pickup_delivery', 'dependencies': OrderedDict()}
[0.005011] (vrp_pickup_delivery_fifo) JobQueued: {'identifier': 'vrp_pickup_delivery_fifo', 'dependencies': OrderedDict()}
[0.005017] (vrp_pickup_delivery_lifo) JobQueued: {'identifier': 'vrp_pickup_delivery_lifo', 'dependencies': OrderedDict()}
[0.005023] (vrp_resources) JobQueued: {'identifier': 'vrp_resources', 'dependencies': OrderedDict()}
[0.005029] (vrp_routes) JobQueued: {'identifier': 'vrp_routes', 'dependencies': OrderedDict()}
[0.005035] (vrp_solution_callback) JobQueued: {'identifier': 'vrp_solution_callback', 'dependencies': OrderedDict()}
[0.005041] (vrp_starts_ends) JobQueued: {'identifier': 'vrp_starts_ends', 'dependencies': OrderedDict()}
[0.005047] (vrp_time_windows) JobQueued: {'identifier': 'vrp_time_windows', 'dependencies': OrderedDict()}
[0.005054] (vrp_with_time_limit) JobQueued: {'identifier': 'vrp_with_time_limit', 'dependencies': OrderedDict()}
[0.005061] (vrptw_store_solution_data) JobQueued: {'identifier': 'vrptw_store_solution_data', 'dependencies': OrderedDict()}
[0.005067] (weighted_tardiness_sat) JobQueued: {'identifier': 'weighted_tardiness_sat', 'dependencies': OrderedDict()}
[0.005072] (xpress_use) JobQueued: {'identifier': 'xpress_use', 'dependencies': OrderedDict()}
[0.005078] (assignment_groups_mip) JobStarted: {'identifier': 'assignment_groups_mip'}
[0.012284] (assignment_groups_sat) JobStarted: {'identifier': 'assignment_groups_sat'}
[0.013905] (assignment_linear_sum_assignment) JobStarted: {'identifier': 'assignment_linear_sum_assignment'}
[0.015529] (assignment_min_flow) JobStarted: {'identifier': 'assignment_min_flow'}
[0.017090] (assignment_mip) JobStarted: {'identifier': 'assignment_mip'}
[0.019375] (assignment_sat) JobStarted: {'identifier': 'assignment_sat'}
[0.021080] (assignment_task_sizes_mip) JobStarted: {'identifier': 'assignment_task_sizes_mip'}
[0.023863] (assignment_task_sizes_sat) JobStarted: {'identifier': 'assignment_task_sizes_sat'}
[0.025868] (assignment_teams_mip) JobStarted: {'identifier': 'assignment_teams_mip'}
[0.027600] (assignment_teams_sat) JobStarted: {'identifier': 'assignment_teams_sat'}
[0.029143] (assumptions_sample_sat) JobStarted: {'identifier': 'assumptions_sample_sat'}
[0.031571] (balance_min_flow) JobStarted: {'identifier': 'balance_min_flow'}
[0.035313] (assignment_groups_mip) JobProgress: {'identifier': 'assignment_groups_mip', 'progress': 'cmake'}
[0.035688] (assignment_groups_mip) Command: {'cmd': ['/usr/bin/cmake', '/home/kristijan/ros2_ws/Fields2Cover/build/_deps/ortools-src/examples/assignment_groups_mip', '-DCMAKE_INSTALL_PREFIX=/home/kristijan/ros2_ws/install/assignment_groups_mip'], 'cwd': '/home/kristijan/ros2_ws/build/assignment_groups_mip', 'env': OrderedDict({'GJS_DEBUG_TOPICS': 'JS ERROR;JS LOG', 'LESSOPEN': '| /usr/bin/lesspipe %s', 'LANGUAGE': 'en_US', 'USER': 'kristijan', 'XDG_SEAT': 'seat0', 'XDG_SESSION_TYPE': 'x11', 'SHLVL': '1', 'LD_LIBRARY_PATH': '/opt/ros/jazzy/opt/rviz_ogre_vendor/lib:/opt/ros/jazzy/lib/x86_64-linux-gnu:/opt/ros/jazzy/opt/gz_math_vendor/lib:/opt/ros/jazzy/opt/gz_utils_vendor/lib:/opt/ros/jazzy/opt/gz_cmake_vendor/lib:/opt/ros/jazzy/lib', 'HOME': '/home/kristijan', 'OLDPWD': '/home/kristijan/ros2_ws/src', 'DESKTOP_SESSION': 'cinnamon', 'NVM_BIN': '/home/kristijan/.nvm/versions/node/v25.3.0/bin', 'NVM_INC': '/home/kristijan/.nvm/versions/node/v25.3.0/include/node', 'GIO_LAUNCHED_DESKTOP_FILE': '/usr/share/applications/cinnamon.desktop', 'ROS_PYTHON_VERSION': '3', 'GTK_MODULES': 'gail:atk-bridge', 'XDG_SEAT_PATH': '/org/freedesktop/DisplayManager/Seat0', 'LC_MONETARY': 'hr_HR.UTF-8', 'CINNAMON_VERSION': '6.4.8', 'DBUS_SESSION_BUS_ADDRESS': 'unix:path=/run/user/1000/bus', 'COLORTERM': 'truecolor', 'TERMINATOR_DBUS_NAME': 'net.tenshu.Terminator21a9d5db22c73a993ff0b42f64b396873', 'LIBVIRT_DEFAULT_URI': 'qemu:///system', 'GIO_LAUNCHED_DESKTOP_FILE_PID': '4151', 'NVM_DIR': '/home/kristijan/.nvm', 'COLCON_PREFIX_PATH': '/home/kristijan/ros2_ws/install', 'ROS_DISTRO': 'jazzy', 'LOGNAME': 'kristijan', '_': '/usr/bin/colcon', 'ROS_VERSION': '2', 'XDG_SESSION_CLASS': 'user', 'TERM': 'xterm-256color', 'XDG_SESSION_ID': 'c4', 'GNOME_DESKTOP_SESSION_ID': 'this-is-deprecated', 'PATH': '/opt/ros/jazzy/bin:/home/kristijan/.nvm/versions/node/v25.3.0/bin:/home/kristijan/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/kristijan/.local/bin:/home/kristijan/android-studio/bin:/home/kristijan/.local/bin:/home/kristijan/.pub-cache/bin', 'SESSION_MANAGER': 'local/kristijan-HP-250-15-6-inch-G9-Notebook-PC:@/tmp/.ICE-unix/3839,unix/kristijan-HP-250-15-6-inch-G9-Notebook-PC:/tmp/.ICE-unix/3839', 'GDM_LANG': 'en_US', 'GTK3_MODULES': 'xapp-gtk3-module', 'XDG_SESSION_PATH': '/org/freedesktop/DisplayManager/Session1', 'LC_ADDRESS': 'hr_HR.UTF-8', 'XDG_RUNTIME_DIR': '/run/user/1000', 'DISPLAY': ':0', 'TERMINATOR_DBUS_PATH': '/net/tenshu/Terminator2', 'LANG': 'en_US.UTF-8', 'XDG_CURRENT_DESKTOP': 'X-Cinnamon', 'LC_TELEPHONE': 'hr_HR.UTF-8', 'XDG_SESSION_DESKTOP': 'cinnamon', 'XAUTHORITY': '/home/kristijan/.Xauthority', 'LS_COLORS': 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=00:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.avif=01;35:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:*~=00;90:*#=00;90:*.bak=00;90:*.crdownload=00;90:*.dpkg-dist=00;90:*.dpkg-new=00;90:*.dpkg-old=00;90:*.dpkg-tmp=00;90:*.old=00;90:*.orig=00;90:*.part=00;90:*.rej=00;90:*.rpmnew=00;90:*.rpmorig=00;90:*.rpmsave=00;90:*.swp=00;90:*.tmp=00;90:*.ucf-dist=00;90:*.ucf-new=00;90:*.ucf-old=00;90:', 'XDG_GREETER_DATA_DIR': '/var/lib/lightdm-data/kristijan', 'AMENT_PREFIX_PATH': '/home/kristijan/ros2_ws/install/robot_coverage:/opt/ros/jazzy', 'SHELL': '/bin/bash', 'LC_NAME': 'hr_HR.UTF-8', 'TERMINATOR_UUID': 'urn:uuid:6e2393e5-f3e1-407d-9c57-1619ce4c5597', 'QT_ACCESSIBILITY': '1', 'GDMSESSION': 'cinnamon', 'LESSCLOSE': '/usr/bin/lesspipe %s %s', 'LC_MEASUREMENT': 'hr_HR.UTF-8', 'GPG_AGENT_INFO': '/run/user/1000/gnupg/S.gpg-agent:0:1', 'GJS_DEBUG_OUTPUT': 'stderr', 'LC_IDENTIFICATION': 'hr_HR.UTF-8', 'ROS_AUTOMATIC_DISCOVERY_RANGE': 'SUBNET', 'XDG_VTNR': '7', 'PWD': '/home/kristijan/ros2_ws/build/assignment_groups_mip', 'XDG_CONFIG_DIRS': '/etc/xdg/xdg-cinnamon:/etc/xdg', 'NVM_CD_FLAGS': '', 'XDG_DATA_DIRS': '/usr/share/cinnamon:/usr/share/gnome:/home/kristijan/.local/share/flatpak/exports/share:/var/lib/flatpak/exports/share:/usr/local/share:/usr/share', 'PYTHONPATH': '/home/kristijan/ros2_ws/install/robot_coverage/lib/python3.12/site-packages:/opt/ros/jazzy/lib/python3.12/site-packages', 'LC_NUMERIC': 'hr_HR.UTF-8', 'LC_PAPER': 'hr_HR.UTF-8', 'COLCON': '1', 'VTE_VERSION': '7600', 'CMAKE_PREFIX_PATH': '/opt/ros/jazzy/opt/gz_math_vendor:/opt/ros/jazzy/opt/gz_utils_vendor:/opt/ros/jazzy/opt/gz_cmake_vendor'}), 'shell': False}
[0.037211] (assignment_groups_sat) JobProgress: {'identifier': 'assignment_groups_sat', 'progress': 'cmake'}
