[0.000000] (-) TimerEvent: {}
[0.642824] (robot_package) StdoutLine: {'line': b'writing ../../build/robot_package/robot_package.egg-info/PKG-INFO\n'}
[0.642977] (robot_package) StdoutLine: {'line': b'writing dependency_links to ../../build/robot_package/robot_package.egg-info/dependency_links.txt\n'}
[0.643159] (robot_package) StdoutLine: {'line': b'writing entry points to ../../build/robot_package/robot_package.egg-info/entry_points.txt\n'}
[0.643281] (robot_package) StdoutLine: {'line': b'writing requirements to ../../build/robot_package/robot_package.egg-info/requires.txt\n'}
[0.643412] (robot_package) StdoutLine: {'line': b'writing top-level names to ../../build/robot_package/robot_package.egg-info/top_level.txt\n'}
[0.665057] (robot_package) StdoutLine: {'line': b"reading manifest file '../../build/robot_package/robot_package.egg-info/SOURCES.txt'\n"}
[0.665548] (robot_package) StdoutLine: {'line': b"writing manifest file '../../build/robot_package/robot_package.egg-info/SOURCES.txt'\n"}
[0.665749] (robot_package) StdoutLine: {'line': b'running build\n'}
[0.665798] (robot_package) StdoutLine: {'line': b'running build_py\n'}
[0.665838] (robot_package) StdoutLine: {'line': b'copying robot_package/datum_relay.py -> /home/kristijan/ros2_ws/build/robot_package/build/lib/robot_package\n'}
[0.665911] (robot_package) StdoutLine: {'line': b'running install\n'}
[0.669619] (robot_package) StdoutLine: {'line': b'running install_lib\n'}
[0.680644] (robot_package) StdoutLine: {'line': b'copying /home/kristijan/ros2_ws/build/robot_package/build/lib/robot_package/datum_relay.py -> /home/kristijan/ros2_ws/install/robot_package/lib/python3.12/site-packages/robot_package\n'}
[0.680997] (robot_package) StdoutLine: {'line': b'byte-compiling /home/kristijan/ros2_ws/install/robot_package/lib/python3.12/site-packages/robot_package/datum_relay.py to datum_relay.cpython-312.pyc\n'}
[0.681654] (robot_package) StdoutLine: {'line': b'running install_data\n'}
[0.681743] (robot_package) StdoutLine: {'line': b'copying launch/robot.launch.xml -> /home/kristijan/ros2_ws/install/robot_package/share/robot_package/launch\n'}
[0.681919] (robot_package) StdoutLine: {'line': b'copying config/navsat.yaml -> /home/kristijan/ros2_ws/install/robot_package/share/robot_package/config\n'}
[0.681973] (robot_package) StdoutLine: {'line': b'running install_egg_info\n'}
[0.693462] (robot_package) StdoutLine: {'line': b"removing '/home/kristijan/ros2_ws/install/robot_package/lib/python3.12/site-packages/robot_package-0.0.0-py3.12.egg-info' (and everything under it)\n"}
[0.693549] (robot_package) StdoutLine: {'line': b'Copying ../../build/robot_package/robot_package.egg-info to /home/kristijan/ros2_ws/install/robot_package/lib/python3.12/site-packages/robot_package-0.0.0-py3.12.egg-info\n'}
[0.693916] (robot_package) StdoutLine: {'line': b'running install_scripts\n'}
[0.701345] (-) TimerEvent: {}
[0.766987] (robot_package) StdoutLine: {'line': b'Installing datum_relay script to /home/kristijan/ros2_ws/install/robot_package/lib/robot_package\n'}
[0.767103] (robot_package) StdoutLine: {'line': b"writing list of installed files to '/home/kristijan/ros2_ws/build/robot_package/install.log'\n"}
[0.785962] (robot_package) CommandEnded: {'returncode': 0}
[0.790864] (robot_package) JobEnded: {'identifier': 'robot_package', 'rc': 0}
[0.791197] (-) EventReactorShutdown: {}
