[0.000000] (-) TimerEvent: {}
[0.001010] (-) JobUnselected: {'identifier': 'cvrptw_with_resources'}
[0.001023] (-) JobUnselected: {'identifier': 'cvrptw_with_stop_times_and_resources'}
[0.001037] (-) JobUnselected: {'identifier': 'cvrptw_with_time_dependent_costs'}
[0.001050] (-) JobUnselected: {'identifier': 'dag_shortest_path_one_to_all'}
[0.001063] (-) JobUnselected: {'identifier': 'dag_shortest_path_sequential'}
[0.001076] (-) JobUnselected: {'identifier': 'dag_simple_shortest_path'}
[0.001089] (-) JobUnselected: {'identifier': 'dijkstra_all_pairs_shortest_paths'}
[0.001103] (-) JobUnselected: {'identifier': 'dijkstra_directed'}
[0.001116] (-) JobUnselected: {'identifier': 'dijkstra_one_to_all'}
[0.001129] (-) JobUnselected: {'identifier': 'dijkstra_sequential'}
[0.001142] (-) JobUnselected: {'identifier': 'dijkstra_undirected'}
[0.001155] (-) JobUnselected: {'identifier': 'dimacs_assignment'}
[0.001168] (-) JobUnselected: {'identifier': 'dobble_ls'}
[0.001182] (-) JobUnselected: {'identifier': 'earliness_tardiness_cost_sample_sat'}
[0.001195] (-) JobUnselected: {'identifier': 'flow_api'}
[0.001208] (-) JobUnselected: {'identifier': 'frequency_assignment_problem'}
[0.001222] (-) JobUnselected: {'identifier': 'golomb_sat'}
[0.001235] (-) JobUnselected: {'identifier': 'integer_programming'}
[0.001248] (-) JobUnselected: {'identifier': 'integer_programming_example'}
[0.001261] (-) JobUnselected: {'identifier': 'interval_sample_sat'}
[0.001274] (-) JobUnselected: {'identifier': 'jobshop_sat'}
[0.001288] (-) JobUnselected: {'identifier': 'json-populate'}
[0.001301] (-) JobUnselected: {'identifier': 'knapsack'}
[0.001314] (-) JobUnselected: {'identifier': 'knapsack_2d_sat'}
[0.001339] (-) JobUnselected: {'identifier': 'linear_assignment_api'}
[0.001512] (-) JobUnselected: {'identifier': 'linear_programming'}
[0.001528] (-) JobUnselected: {'identifier': 'linear_programming_example'}
[0.001542] (-) JobUnselected: {'identifier': 'linear_solver_protocol_buffers'}
[0.001556] (-) JobUnselected: {'identifier': 'literal_sample_sat'}
[0.001569] (-) JobUnselected: {'identifier': 'magic_sequence_sat'}
[0.001583] (-) JobUnselected: {'identifier': 'magic_square_sat'}
[0.001596] (-) JobUnselected: {'identifier': 'matplot-populate'}
[0.001609] (-) JobUnselected: {'identifier': 'matplot-src'}
[0.001623] (-) JobUnselected: {'identifier': 'max_flow'}
[0.001636] (-) JobUnselected: {'identifier': 'min_cost_flow'}
[0.001649] (-) JobUnselected: {'identifier': 'minimal_jobshop_cp'}
[0.001663] (-) JobUnselected: {'identifier': 'minimal_jobshop_sat'}
[0.001676] (-) JobUnselected: {'identifier': 'mip_var_array'}
[0.001689] (-) JobUnselected: {'identifier': 'mps_driver'}
[0.001702] (-) JobUnselected: {'identifier': 'multi_knapsack_sat'}
[0.001715] (-) JobUnselected: {'identifier': 'multiple_knapsack_mip'}
[0.001735] (-) JobUnselected: {'identifier': 'multiple_knapsack_sat'}
[0.001748] (-) JobUnselected: {'identifier': 'network_routing_sat'}
[0.001761] (-) JobUnselected: {'identifier': 'nlohmann_json'}
[0.001774] (-) JobUnselected: {'identifier': 'no_overlap_sample_sat'}
[0.001787] (-) JobUnselected: {'identifier': 'non_linear_sat'}
[0.001801] (-) JobUnselected: {'identifier': 'nqueens'}
[0.001814] (-) JobUnselected: {'identifier': 'nqueens_cp'}
[0.001827] (-) JobUnselected: {'identifier': 'nqueens_sat'}
[0.001840] (-) JobUnselected: {'identifier': 'nurses_cp'}
[0.001853] (-) JobUnselected: {'identifier': 'nurses_sat'}
[0.001866] (-) JobUnselected: {'identifier': 'optional_interval_sample_sat'}
[0.001879] (-) JobUnselected: {'identifier': 'ortools-populate'}
[0.001892] (-) JobUnselected: {'identifier': 'pdlp_solve'}
[0.001905] (-) JobUnselected: {'identifier': 'pdptw'}
[0.001919] (-) JobUnselected: {'identifier': 'qap_sat'}
[0.001932] (-) JobUnselected: {'identifier': 'rabbits_and_pheasants_cp'}
[0.001945] (-) JobUnselected: {'identifier': 'rabbits_and_pheasants_sat'}
[0.001958] (-) JobUnselected: {'identifier': 'random_tsp'}
[0.001972] (-) JobUnselected: {'identifier': 'ranking_sample_sat'}
[0.001985] (-) JobUnselected: {'identifier': 'reified_sample_sat'}
[0.002004] (-) JobUnselected: {'identifier': 'schedule_requests_sat'}
[0.002017] (-) JobUnselected: {'identifier': 'search_for_all_solutions_sample_sat'}
[0.002030] (-) JobUnselected: {'identifier': 'shift_minimization_sat'}
[0.002043] (-) JobUnselected: {'identifier': 'simple_cp_program'}
[0.002056] (-) JobUnselected: {'identifier': 'simple_glop_program'}
[0.002070] (-) JobUnselected: {'identifier': 'simple_knapsack_program'}
[0.002083] (-) JobUnselected: {'identifier': 'simple_lp_program'}
[0.002096] (-) JobUnselected: {'identifier': 'simple_ls_program'}
[0.002108] (-) JobUnselected: {'identifier': 'simple_max_flow_program'}
[0.002121] (-) JobUnselected: {'identifier': 'simple_min_cost_flow_program'}
[0.002134] (-) JobUnselected: {'identifier': 'simple_mip_program'}
[0.002147] (-) JobUnselected: {'identifier': 'simple_pdlp_program'}
[0.002160] (-) JobUnselected: {'identifier': 'simple_routing_program'}
[0.002174] (-) JobUnselected: {'identifier': 'simple_sat_program'}
[0.002187] (-) JobUnselected: {'identifier': 'slitherlink_sat'}
[0.002200] (-) JobUnselected: {'identifier': 'solution_hinting_sample_sat'}
[0.002213] (-) JobUnselected: {'identifier': 'solve_and_print_intermediate_solutions_sample_sat'}
[0.002226] (-) JobUnselected: {'identifier': 'solve_with_time_limit_sample_sat'}
[0.002239] (-) JobUnselected: {'identifier': 'sports_scheduling_sat'}
[0.002252] (-) JobUnselected: {'identifier': 'steering_functions'}
[0.002266] (-) JobUnselected: {'identifier': 'steering_functions-populate'}
[0.002279] (-) JobUnselected: {'identifier': 'step_function_sample_sat'}
[0.002293] (-) JobUnselected: {'identifier': 'stigler_diet'}
[0.002307] (-) JobUnselected: {'identifier': 'stop_after_n_solutions_sample_sat'}
[0.002332] (-) JobUnselected: {'identifier': 'strawberry_fields_with_column_generation'}
[0.002361] (-) JobUnselected: {'identifier': 'tsp'}
[0.002375] (-) JobUnselected: {'identifier': 'tsp_circuit_board'}
[0.002389] (-) JobUnselected: {'identifier': 'tsp_cities'}
[0.002402] (-) JobUnselected: {'identifier': 'tsp_cities_routes'}
[0.002415] (-) JobUnselected: {'identifier': 'tsp_distance_matrix'}
[0.002428] (-) JobUnselected: {'identifier': 'uncapacitated_facility_location'}
[0.002442] (-) JobUnselected: {'identifier': 'variable_intervals_sat'}
[0.002455] (-) JobUnselected: {'identifier': 'vector_bin_packing_solver'}
[0.002468] (-) JobUnselected: {'identifier': 'vrp'}
[0.002481] (-) JobUnselected: {'identifier': 'vrp_breaks'}
[0.002494] (-) JobUnselected: {'identifier': 'vrp_capacity'}
[0.002507] (-) JobUnselected: {'identifier': 'vrp_drop_nodes'}
[0.002522] (-) JobUnselected: {'identifier': 'vrp_global_span'}
[0.002535] (-) JobUnselected: {'identifier': 'vrp_initial_routes'}
[0.002548] (-) JobUnselected: {'identifier': 'vrp_pickup_delivery'}
[0.002561] (-) JobUnselected: {'identifier': 'vrp_pickup_delivery_fifo'}
[0.002574] (-) JobUnselected: {'identifier': 'vrp_pickup_delivery_lifo'}
[0.002588] (-) JobUnselected: {'identifier': 'vrp_resources'}
[0.002601] (-) JobUnselected: {'identifier': 'vrp_routes'}
[0.002614] (-) JobUnselected: {'identifier': 'vrp_solution_callback'}
[0.002627] (-) JobUnselected: {'identifier': 'vrp_starts_ends'}
[0.002640] (-) JobUnselected: {'identifier': 'vrp_time_windows'}
[0.002653] (-) JobUnselected: {'identifier': 'vrp_with_time_limit'}
[0.002667] (-) JobUnselected: {'identifier': 'vrptw_store_solution_data'}
[0.002680] (-) JobUnselected: {'identifier': 'weighted_tardiness_sat'}
[0.002693] (-) JobUnselected: {'identifier': 'xpress_use'}
[0.002709] (robot_package) JobQueued: {'identifier': 'robot_package', 'dependencies': OrderedDict()}
[0.002727] (robot_package) JobStarted: {'identifier': 'robot_package'}
[0.099803] (-) TimerEvent: {}
[0.200154] (-) TimerEvent: {}
[0.300520] (-) TimerEvent: {}
[0.400848] (-) TimerEvent: {}
[0.496375] (robot_package) Command: {'cmd': ['/usr/bin/python3', '-W', 'ignore:setup.py install is deprecated', '-W', 'ignore:easy_install command is deprecated', 'setup.py', 'egg_info', '--egg-base', '../../build/robot_package', 'build', '--build-base', '/home/kristijan/ros2_ws/build/robot_package/build', 'install', '--record', '/home/kristijan/ros2_ws/build/robot_package/install.log', '--single-version-externally-managed', 'install_data'], 'cwd': '/home/kristijan/ros2_ws/src/robot_package', 'env': {'GJS_DEBUG_TOPICS': 'JS ERROR;JS LOG', 'LESSOPEN': '| /usr/bin/lesspipe %s', 'LANGUAGE': 'en_US', 'USER': 'kristijan', 'XDG_SEAT': 'seat0', 'XDG_SESSION_TYPE': 'x11', 'SHLVL': '1', 'LD_LIBRARY_PATH': '/opt/ros/jazzy/opt/rviz_ogre_vendor/lib:/opt/ros/jazzy/lib/x86_64-linux-gnu:/opt/ros/jazzy/opt/gz_math_vendor/lib:/opt/ros/jazzy/opt/gz_utils_vendor/lib:/opt/ros/jazzy/opt/gz_cmake_vendor/lib:/opt/ros/jazzy/lib', 'HOME': '/home/kristijan', 'OLDPWD': '/home/kristijan/ros2_ws', 'DESKTOP_SESSION': 'cinnamon', 'NVM_BIN': '/home/kristijan/.nvm/versions/node/v25.3.0/bin', 'NVM_INC': '/home/kristijan/.nvm/versions/node/v25.3.0/include/node', 'GIO_LAUNCHED_DESKTOP_FILE': '/usr/share/applications/cinnamon.desktop', 'ROS_PYTHON_VERSION': '3', 'GTK_MODULES': 'gail:atk-bridge', 'XDG_SEAT_PATH': '/org/freedesktop/DisplayManager/Seat0', 'LC_MONETARY': 'hr_HR.UTF-8', 'CINNAMON_VERSION': '6.4.8', 'DBUS_SESSION_BUS_ADDRESS': 'unix:path=/run/user/1000/bus', 'COLORTERM': 'truecolor', 'TERMINATOR_DBUS_NAME': 'net.tenshu.Terminator21a9d5db22c73a993ff0b42f64b396873', 'LIBVIRT_DEFAULT_URI': 'qemu:///system', 'GIO_LAUNCHED_DESKTOP_FILE_PID': '4151', 'NVM_DIR': '/home/kristijan/.nvm', 'COLCON_PREFIX_PATH': '/home/kristijan/ros2_ws/install', 'ROS_DISTRO': 'jazzy', 'LOGNAME': 'kristijan', '_': '/usr/bin/colcon', 'ROS_VERSION': '2', 'XDG_SESSION_CLASS': 'user', 'TERM': 'xterm-256color', 'XDG_SESSION_ID': 'c4', 'GNOME_DESKTOP_SESSION_ID': 'this-is-deprecated', 'PATH': '/opt/ros/jazzy/bin:/home/kristijan/.nvm/versions/node/v25.3.0/bin:/home/kristijan/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/kristijan/.local/bin:/home/kristijan/android-studio/bin:/home/kristijan/.local/bin:/home/kristijan/.pub-cache/bin', 'SESSION_MANAGER': 'local/kristijan-HP-250-15-6-inch-G9-Notebook-PC:@/tmp/.ICE-unix/3839,unix/kristijan-HP-250-15-6-inch-G9-Notebook-PC:/tmp/.ICE-unix/3839', 'GDM_LANG': 'en_US', 'GTK3_MODULES': 'xapp-gtk3-module', 'XDG_SESSION_PATH': '/org/freedesktop/DisplayManager/Session1', 'LC_ADDRESS': 'hr_HR.UTF-8', 'XDG_RUNTIME_DIR': '/run/user/1000', 'DISPLAY': ':0', 'TERMINATOR_DBUS_PATH': '/net/tenshu/Terminator2', 'LANG': 'en_US.UTF-8', 'XDG_CURRENT_DESKTOP': 'X-Cinnamon', 'LC_TELEPHONE': 'hr_HR.UTF-8', 'XDG_SESSION_DESKTOP': 'cinnamon', 'XAUTHORITY': '/home/kristijan/.Xauthority', 'LS_COLORS': 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=00:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.avif=01;35:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:*~=00;90:*#=00;90:*.bak=00;90:*.crdownload=00;90:*.dpkg-dist=00;90:*.dpkg-new=00;90:*.dpkg-old=00;90:*.dpkg-tmp=00;90:*.old=00;90:*.orig=00;90:*.part=00;90:*.rej=00;90:*.rpmnew=00;90:*.rpmorig=00;90:*.rpmsave=00;90:*.swp=00;90:*.tmp=00;90:*.ucf-dist=00;90:*.ucf-new=00;90:*.ucf-old=00;90:', 'XDG_GREETER_DATA_DIR': '/var/lib/lightdm-data/kristijan', 'AMENT_PREFIX_PATH': '/home/kristijan/ros2_ws/install/robot_package:/home/kristijan/ros2_ws/install/robot_coverage:/opt/ros/jazzy', 'SHELL': '/bin/bash', 'LC_NAME': 'hr_HR.UTF-8', 'TERMINATOR_UUID': 'urn:uuid:6e2393e5-f3e1-407d-9c57-1619ce4c5597', 'QT_ACCESSIBILITY': '1', 'GDMSESSION': 'cinnamon', 'LESSCLOSE': '/usr/bin/lesspipe %s %s', 'LC_MEASUREMENT': 'hr_HR.UTF-8', 'GPG_AGENT_INFO': '/run/user/1000/gnupg/S.gpg-agent:0:1', 'GJS_DEBUG_OUTPUT': 'stderr', 'LC_IDENTIFICATION': 'hr_HR.UTF-8', 'ROS_AUTOMATIC_DISCOVERY_RANGE': 'SUBNET', 'XDG_VTNR': '7', 'PWD': '/home/kristijan/ros2_ws/build/robot_package', 'XDG_CONFIG_DIRS': '/etc/xdg/xdg-cinnamon:/etc/xdg', 'NVM_CD_FLAGS': '', 'XDG_DATA_DIRS': '/usr/share/cinnamon:/usr/share/gnome:/home/kristijan/.local/share/flatpak/exports/share:/var/lib/flatpak/exports/share:/usr/local/share:/usr/share', 'PYTHONPATH': '/home/kristijan/ros2_ws/build/robot_package/prefix_override:/usr/lib/python3/dist-packages/colcon_core/task/python/colcon_distutils_commands:/home/kristijan/ros2_ws/install/robot_package/lib/python3.12/site-packages:/home/kristijan/ros2_ws/install/robot_package/lib/python3.12/site-packages:/home/kristijan/ros2_ws/install/robot_coverage/lib/python3.12/site-packages:/opt/ros/jazzy/lib/python3.12/site-packages', 'LC_NUMERIC': 'hr_HR.UTF-8', 'LC_PAPER': 'hr_HR.UTF-8', 'COLCON': '1', 'VTE_VERSION': '7600', 'CMAKE_PREFIX_PATH': '/opt/ros/jazzy/opt/gz_math_vendor:/opt/ros/jazzy/opt/gz_utils_vendor:/opt/ros/jazzy/opt/gz_cmake_vendor'}, 'shell': False}
[0.501049] (-) TimerEvent: {}
[0.601369] (-) TimerEvent: {}
[0.669460] (robot_package) StdoutLine: {'line': b'running egg_info\n'}
[0.680216] (robot_package) StdoutLine: {'line': b'writing ../../build/robot_package/robot_package.egg-info/PKG-INFO\n'}
[0.680387] (robot_package) StdoutLine: {'line': b'writing dependency_links to ../../build/robot_package/robot_package.egg-info/dependency_links.txt\n'}
[0.680474] (robot_package) StdoutLine: {'line': b'writing entry points to ../../build/robot_package/robot_package.egg-info/entry_points.txt\n'}
[0.680635] (robot_package) StdoutLine: {'line': b'writing requirements to ../../build/robot_package/robot_package.egg-info/requires.txt\n'}
[0.680742] (robot_package) StdoutLine: {'line': b'writing top-level names to ../../build/robot_package/robot_package.egg-info/top_level.txt\n'}
[0.701564] (-) TimerEvent: {}
[0.702346] (robot_package) StdoutLine: {'line': b"reading manifest file '../../build/robot_package/robot_package.egg-info/SOURCES.txt'\n"}
[0.702962] (robot_package) StdoutLine: {'line': b"writing manifest file '../../build/robot_package/robot_package.egg-info/SOURCES.txt'\n"}
[0.703077] (robot_package) StdoutLine: {'line': b'running build\n'}
[0.703161] (robot_package) StdoutLine: {'line': b'running build_py\n'}
[0.703313] (robot_package) StdoutLine: {'line': b'copying robot_package/datum_relay.py -> /home/kristijan/ros2_ws/build/robot_package/build/lib/robot_package\n'}
[0.703451] (robot_package) StdoutLine: {'line': b'running install\n'}
[0.707229] (robot_package) StdoutLine: {'line': b'running install_lib\n'}
[0.718421] (robot_package) StdoutLine: {'line': b'copying /home/kristijan/ros2_ws/build/robot_package/build/lib/robot_package/datum_relay.py -> /home/kristijan/ros2_ws/install/robot_package/lib/python3.12/site-packages/robot_package\n'}
[0.718717] (robot_package) StdoutLine: {'line': b'byte-compiling /home/kristijan/ros2_ws/install/robot_package/lib/python3.12/site-packages/robot_package/datum_relay.py to datum_relay.cpython-312.pyc\n'}
[0.719575] (robot_package) StdoutLine: {'line': b'running install_data\n'}
[0.719726] (robot_package) StdoutLine: {'line': b'running install_egg_info\n'}
[0.732121] (robot_package) StdoutLine: {'line': b"removing '/home/kristijan/ros2_ws/install/robot_package/lib/python3.12/site-packages/robot_package-0.0.0-py3.12.egg-info' (and everything under it)\n"}
[0.732290] (robot_package) StdoutLine: {'line': b'Copying ../../build/robot_package/robot_package.egg-info to /home/kristijan/ros2_ws/install/robot_package/lib/python3.12/site-packages/robot_package-0.0.0-py3.12.egg-info\n'}
[0.732627] (robot_package) StdoutLine: {'line': b'running install_scripts\n'}
[0.801785] (-) TimerEvent: {}
[0.806336] (robot_package) StdoutLine: {'line': b'Installing datum_relay script to /home/kristijan/ros2_ws/install/robot_package/lib/robot_package\n'}
[0.806536] (robot_package) StdoutLine: {'line': b"writing list of installed files to '/home/kristijan/ros2_ws/build/robot_package/install.log'\n"}
[0.827172] (robot_package) CommandEnded: {'returncode': 0}
[0.836251] (robot_package) JobEnded: {'identifier': 'robot_package', 'rc': 0}
[0.836745] (-) EventReactorShutdown: {}
